code,label,optcode,optlabel
O_show_totals,Show Totals,true,True
O_show_totals,Show Totals,false,False
O_show_totals,Show Totals,disabled,Disabled
O_show_zeros,Show Zero Values,true,True
O_show_zeros,Show Zero Values,false,False
O_show_zeros,Show Zero Values,disabled,Disabled
O_show_suppressed,Show Suppressed,true,True
O_show_suppressed,Show Suppressed,false,False
O_show_suppressed,Show Suppressed,disabled,Disabled
O_precision,Precision,0,0
O_precision,Precision,1,1
O_precision,Precision,2,2
O_precision,Precision,3,3
O_precision,Precision,4,4
O_precision,Precision,5,5
O_precision,Precision,6,6
O_precision,Precision,7,7
O_precision,Precision,8,8
O_precision,Precision,9,9
O_timeout,Data Access Timeout,60,1
O_timeout,Data Access Timeout,120,2
O_timeout,Data Access Timeout,180,3
O_timeout,Data Access Timeout,240,4
O_timeout,Data Access Timeout,300,5
O_timeout,Data Access Timeout,360,6
O_timeout,Data Access Timeout,420,7
O_timeout,Data Access Timeout,480,8
O_timeout,Data Access Timeout,540,9
O_timeout,Data Access Timeout,600,10
O_timeout,Data Access Timeout,660,11
O_timeout,Data Access Timeout,720,12
O_timeout,Data Access Timeout,780,13
O_timeout,Data Access Timeout,840,14
O_timeout,Data Access Timeout,900,15
O_groups_count,Groups,2,Two
O_groups_count,Groups,3,Three
O_groups_count,Groups,4,Four
O_groups_count,Groups,5,Five
O_groups_count,Groups,6,Six
O_groups_count,Groups,7,Seven
O_groups_count,Groups,8,Eight
O_groups_count,Groups,9,Nine
O_groups_count,Groups,10,Ten
O_groups_methods,Group Breaks Method,QUANTILE,Quantile
O_groups_methods,Group Breaks Method,EQUAL,Equal Interval
O_rate_per,Calculate Rates Per,1000,"1,000"
O_rate_per,Calculate Rates Per,10000,"10,000"
O_rate_per,Calculate Rates Per,100000,"100,000"
O_rate_per,Calculate Rates Per,1000000,"1,000,000"
O_natality_archive_pops,Population Option,total_intercensal,Default intercensal populations for years 2007-2009
O_natality_archive_pops,Population Option,total,Archive postcensal populations for years 2007-2009
O_natality_archive_pops,Population Option,norates,No populations shown because rates were not selected.
O_V22_fmode,NA,NA,NA
O_oe_gestation,NA,NA,NA
O_V21_fmode,NA,NA,NA
O_V37_fmode,NA,NA,NA
O_javascript,NA,NA,NA
O_age,NA,NA,NA
O_title,NA,NA,NA
O_weight,NA,NA,NA
O_gestation,NA,NA,NA
O_location,NA,NA,NA
O_labels_opt,NA,NA,NA
O_show_rank,NA,NA,NA
O_groups,NA,NA,NA
